"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"874","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 16:13:16,FALSE,NA,"1368233224921513989",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skai_kn",83,TRUE,FALSE,NA,NA
"875","still remember when my ex bf met apink eunji when he was on a trip to italy i think ?? i dont remember but he asked… https://t.co/3ihy77urUJ",FALSE,4,NA,2021-03-06 16:11:50,TRUE,NA,"1368232866992197634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tempusmodel",0,FALSE,FALSE,NA,NA
"876","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 16:11:45,FALSE,NA,"1368232846947680257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Carolystyless",83,TRUE,FALSE,NA,NA
"877","Manifesting a trip to Italy 🧘🏻‍♀️",FALSE,1,NA,2021-03-06 16:07:15,FALSE,NA,"1368231712174473217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dannaass",2,FALSE,FALSE,NA,NA
"878","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 16:06:31,FALSE,NA,"1368231528753471491",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeviiiJ",83,TRUE,FALSE,NA,NA
"879","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 16:00:08,FALSE,NA,"1368229921391271936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Amygoblue",176,TRUE,FALSE,NA,NA
"880","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 15:57:15,FALSE,NA,"1368229197307547649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oh_viviane",176,TRUE,FALSE,NA,NA
"881","RT @ItalianWonders: #Roma alle prime luci dell'alba ✨

#Rome with the first lights of dawn 🏙️😍

#italia #Italy #italianwonders #trip #trave…",FALSE,0,NA,2021-03-06 15:55:44,FALSE,NA,"1368228816351551496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NegronPerdomo",21,TRUE,FALSE,NA,NA
"882","RT @ItalianWonders: #GoodMorningTwitterWorld from the magic #Alberobello, #Apulia 🥰✨

#Italy #italianwonders #italia #Puglia #travel #trip…",FALSE,0,NA,2021-03-06 15:55:33,FALSE,NA,"1368228767051767809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NegronPerdomo",70,TRUE,FALSE,NA,NA
"883","a trip to Italy is screamingggg my name",FALSE,0,NA,2021-03-06 15:54:53,FALSE,NA,"1368228600537841676",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nhachur",0,FALSE,FALSE,NA,NA
"884","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 15:48:10,FALSE,NA,"1368226909771988994",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mmnjug",176,TRUE,FALSE,NA,NA
"885","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 15:42:13,FALSE,NA,"1368225414917849091",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lulu_Graezinski",176,TRUE,FALSE,NA,NA
"886","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 15:39:25,FALSE,NA,"1368224706403299336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeterHeater84",176,TRUE,FALSE,NA,NA
"887","RT @WIRED: During Italy's second lockdown, photographer @paolopettigiani brightened his days by looking through images from his trip to Per…",FALSE,0,NA,2021-03-06 15:35:12,FALSE,NA,"1368223646758666246",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cmccool",176,TRUE,FALSE,NA,NA
"888","Come out &amp; support LG EFTours...raising money for trip to Italy. LG Farmer’s Market https://t.co/C3I32CgMHX",FALSE,0,NA,2021-03-06 15:34:07,FALSE,NA,"1368223374690942980",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coachAmick",0,FALSE,FALSE,NA,NA
"889","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 15:31:09,FALSE,NA,"1368222627593129987",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","n_oubliez",83,TRUE,FALSE,NA,NA
"890","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 15:28:31,FALSE,NA,"1368221966453325828",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Logolept_",83,TRUE,FALSE,NA,NA
"891","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 15:26:03,FALSE,NA,"1368221344194850824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glowystyless",83,TRUE,FALSE,NA,NA
"892","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 15:25:28,FALSE,NA,"1368221199155814407",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shannyretro",83,TRUE,FALSE,NA,NA
"893","RT @autumndiors: road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,0,NA,2021-03-06 15:25:28,FALSE,NA,"1368221195724808193",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BABTYX",83,TRUE,FALSE,NA,NA
"894","road trip through the streets of Italy 🇮🇹 🍋 https://t.co/mXwJKGf01W",FALSE,449,NA,2021-03-06 15:21:01,FALSE,NA,"1368220078584500226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","autumndiors",83,FALSE,FALSE,NA,NA
"895","@greta Italy. Our trip was canceled in 2020.",FALSE,10,"greta",2021-03-06 15:19:47,FALSE,"1368218504974004224","1368219768872988678","16031927","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LisaAFahy",0,FALSE,FALSE,NA,NA
